Radiant_Temp,Humidity,Air_Velocity,Optimal_Air_Temp,Min_Abs_PMV
12.0,10,0.0,35.0,0.5912544368124627
12.0,10,0.1,35.0,0.5912521429170561
12.0,10,0.2,35.0,0.25376426276232417
12.0,10,0.30000000000000004,35.0,0.029193619942182544
12.0,10,0.4,34.5,0.025200918207416968
12.0,10,0.5,34.0,0.03154679414431051
12.0,10,0.6000000000000001,33.5,0.00556946771859026
12.0,10,0.7000000000000001,33.0,0.04446463609850111
12.0,10,0.8,33.0,0.01858927026975167
12.0,10,0.9,32.5,0.0605734053111157
12.0,10,1.0,32.5,0.026143713341224766
12.0,10,1.1,15.0,5.799531561900996
12.0,10,1.2000000000000002,18.5,11.898088857129695
12.0,10,1.3,,inf
12.0,10,1.4000000000000001,,inf
12.0,10,1.5,,inf
12.0,10,1.6,,inf
12.0,15,0.0,35.0,0.5092806798829838
12.0,15,0.1,35.0,0.5092783859875772
12.0,15,0.2,35.0,0.17179050583284527
12.0,15,0.30000000000000004,34.5,0.051983437297056866
12.0,15,0.4,34.0,0.007982910830799229
12.0,15,0.5,33.5,0.010248929741222101
12.0,15,0.6000000000000001,33.0,0.043644630024376234
12.0,15,0.7000000000000001,33.0,0.028870529184394682
12.0,15,0.8,32.5,0.04113709200481253
12.0,15,0.9,32.5,0.01072988919098586
12.0,15,1.0,32.5,0.045159581160876795
12.0,15,1.1,15.0,5.7746690952413315
12.0,15,1.2000000000000002,18.5,11.86703854141352
12.0,15,1.3,,inf
12.0,15,1.4000000000000001,,inf
12.0,15,1.5,,inf
12.0,15,1.6,,inf
12.0,20,0.0,35.0,0.4273069229535049
12.0,20,0.1,35.0,0.42730462905809835
12.0,20,0.2,35.0,0.08981674890336638
12.0,20,0.30000000000000004,34.5,0.027751916640997985
12.0,20,0.4,33.5,0.0453839819667643
12.0,20,0.5,33.0,0.05616579555849868
12.0,20,0.6000000000000001,33.0,0.029690535258519564
12.0,20,0.7000000000000001,32.5,0.02877403593230599
12.0,20,0.8,32.5,0.030166202497289032
12.0,20,0.9,32.0,0.056597082622364715
12.0,20,1.0,32.0,0.023283327514708862
12.0,20,1.1,15.0,5.749806628581666
12.0,20,1.2000000000000002,18.5,11.835988225697344
12.0,20,1.3,,inf
12.0,20,1.4000000000000001,,inf
12.0,20,1.5,,inf
12.0,20,1.6,,inf
12.0,25,0.0,35.0,0.34533316602402553
12.0,25,0.1,35.0,0.34533087212861896
12.0,25,0.2,35.0,0.007842991973886982
12.0,25,0.30000000000000004,34.0,0.001536718208220919
12.0,25,0.4,33.5,0.030033128796945533
12.0,25,0.5,33.0,0.017169369724397636
12.0,25,0.6000000000000001,32.5,0.02558197752800008
12.0,25,0.7000000000000001,32.5,0.04252925856979557
12.0,25,0.8,32.0,0.03564854540945629
12.0,25,0.9,32.0,0.012723404130774397
12.0,25,1.0,32.0,0.04603715923843025
12.0,25,1.1,15.0,5.724944161922
12.0,25,1.2000000000000002,18.5,11.804937909981168
12.0,25,1.3,,inf
12.0,25,1.4000000000000001,,inf
12.0,25,1.5,,inf
12.0,25,1.6,,inf
12.0,30,0.0,35.0,0.26335940909454664
12.0,30,0.1,35.0,0.26335711519914007
12.0,30,0.2,34.5,0.026113539719351753
12.0,30,0.30000000000000004,33.5,0.03493252382793129
12.0,30,0.4,33.0,0.013515914802542965
12.0,30,0.5,32.5,0.034752353907606344
12.0,30,0.6000000000000001,32.5,0.045721316974101485
12.0,30,0.7000000000000001,32.0,0.02114244802460819
12.0,30,0.8,32.0,0.03367194134368177
12.0,30,0.9,31.5,0.059953132587613325
12.0,30,1.0,31.5,0.028390382838792503
12.0,30,1.1,15.0,5.700081695262335
12.0,30,1.2000000000000002,18.5,11.773887594264993
12.0,30,1.3,,inf
12.0,30,1.4000000000000001,,inf
12.0,30,1.5,,inf
12.0,30,1.6,,inf
12.0,35,0.0,35.0,0.18138565216506725
12.0,35,0.1,35.0,0.18138335826966068
12.0,35,0.2,34.0,0.04853007934527762
12.0,35,0.30000000000000004,33.5,0.040484586935778534
12.0,35,0.4,33.0,0.05981925048035283
12.0,35,0.5,32.5,0.036550940594494694
12.0,35,0.6000000000000001,32.0,0.015366305256440884
12.0,35,0.7000000000000001,32.0,0.04817803872853092
12.0,35,0.8,31.5,0.03764378902554226
12.0,35,0.9,31.5,0.007432613860298208
12.0,35,1.0,31.5,0.03899536360911903
12.0,35,1.1,15.0,5.6752192286026695
12.0,35,1.2000000000000002,18.5,11.74283727854882
12.0,35,1.3,,inf
12.0,35,1.4000000000000001,,inf
12.0,35,1.5,,inf
12.0,35,1.6,,inf
12.0,40,0.0,35.0,0.09941189523558835
12.0,40,0.1,35.0,0.0994096013401818
12.0,40,0.2,34.0,0.029020079520696403
12.0,40,0.30000000000000004,33.0,0.0010487813939688403
12.0,40,0.4,32.5,0.010369520001843806
12.0,40,0.5,32.0,0.021133373437897778
12.0,40,0.6000000000000001,32.0,0.0539541814966977
12.0,40,0.7000000000000001,31.5,0.021123040494039794
12.0,40,0.8,31.5,0.0297419574223698
12.0,40,0.9,31.0,0.07111620827742553
12.0,40,1.0,31.0,0.04115368644158207
12.0,40,1.1,15.0,5.650356761943003
12.0,40,1.2000000000000002,18.5,11.711786962832644
12.0,40,1.3,,inf
12.0,40,1.4000000000000001,,inf
12.0,40,1.5,,inf
12.0,40,1.6,,inf
12.0,45,0.0,35.0,0.01743813830610948
12.0,45,0.1,35.0,0.017435844410702925
12.0,45,0.2,33.5,0.00047562207990554245
12.0,45,0.30000000000000004,32.5,0.04214993335380713
12.0,45,0.4,32.0,0.04275783702886419
12.0,45,0.5,32.0,0.04818711331524081
